country,NurtrionType,score,X,Y
Australia,Low_alkohol,1,134.3038291,-25.76418155
Austria,High_alkohol,1,14.11043007,47.59229344
Austria,Low_alkohol,2,15.11043007,47.59229344
Belgium,Control,1,4.645938195,50.63889496
Belgium,High_alkohol,2,5.645938195,50.63889496
Belgium,Prebiotics,3,6.645938195,50.63889496
Canada,ANT+HFHS,1,-96.54862673,60.41776698
Canada,BB+HFHS,2,-95.54862673,60.41776698
Canada,Control,3,-94.54862673,60.41776698
Canada,Low_alkohol,4,-93.54862673,60.41776698
Canada,PAC+HFHS,5,-92.54862673,60.41776698
China,Amylin,1,103.3780495,36.69140669
China,APS,2,104.3780495,36.69140669
China,ARB,3,105.3780495,36.69140669
China,Baseline,4,106.3780495,36.69140669
China,beef,5,107.3780495,36.69140669
China,casein,6,108.3780495,36.69140669
China,chicken,7,109.3780495,36.69140669
China,Cistanche_tubulosa_phenylethanoid_glycosides,8,110.3780495,36.69140669
China,Control,9,111.3780495,36.69140669
China,fish,10,112.3780495,36.69140669
China,Inulin,11,113.3780495,36.69140669
China,NHDC,12,114.3780495,36.69140669
China,No_Polyphenol,13,115.3780495,36.69140669
China,pork,14,116.3780495,36.69140669
China,probiotics,15,117.3780495,36.69140669
China,RSV,16,118.3780495,36.69140669
China,Saccharin,17,119.3780495,36.69140669
China,soy,18,120.3780495,36.69140669
China,Sucralose,19,121.3780495,36.69140669
China,Low_alkohol,20,122.3780495,36.69140669
France,Baseline,1,-6.676141125,42.95514018
France,Milk_protein_component,2,-5.676141125,42.95514018
France,Soybean_protein_component,3,-4.676141125,42.95514018
Germany,Baseline,1,10.36437159,51.0505772
Germany,Control,2,11.36437159,51.0505772
Germany,High_alkohol,3,12.36437159,51.0505772
Germany,Inulin,4,13.36437159,51.0505772
Germany,probiotics,5,14.36437159,51.0505772
Germany,Proprobiotics,6,15.36437159,51.0505772
Iceland,High_alkohol,1,-18.58003366,64.99788413
India,Baseline,1,79.56391093,22.77664304
India,HAMS,2,80.56391093,22.77664304
India,HAMSA,3,81.56391093,22.77664304
India,Washout,4,82.56391093,22.77664304
Italy,Baseline,1,12.2010485,42.71568615
Italy,Butyrate,2,13.2010485,42.71568615
Italy,Control,3,14.2010485,42.71568615
Italy,Low_Milk,4,15.2010485,42.71568615
Italy,Milk,5,16.2010485,42.71568615
Japan,Arg+LKM,1,137.6600063,37.46088048
Japan,Control,2,138.6600063,37.46088048
Japan,High_alkohol,3,139.6600063,37.46088048
Philippines,High_alkohol,1,122.9192801,11.72934323
Philippines,Low_alkohol,2,123.9192801,11.72934323
United Kingdom,High_alkohol,1,-2.758142056,54.01164975
United Kingdom,Low_alkohol,2,-1.758142056,54.01164975
United States,acarbose,1,-103.6295628,44.74373159
United States,Baseline,2,-102.6295628,44.74373159
United States,cholesteorl_alkyne,3,-101.6295628,44.74373159
United States,cholesterol,4,-100.6295628,44.74373159
United States,cholesterol_alkyne,5,-99.6295628,44.74373159
United States,Control,6,-98.6295628,44.74373159
United States,Dextrin,7,-97.6295628,44.74373159
United States,FOS,8,-96.6295628,44.74373159
United States,Glucose,9,-95.6295628,44.74373159
United States,High_alkohol,10,-94.6295628,44.74373159
United States,Low_alkohol,11,-93.6295628,44.74373159
United States,NR,12,-92.6295628,44.74373159
United States,probiotics,13,-91.6295628,44.74373159
United States,Resistant_starch,14,-90.6295628,44.74373159
United States,RRB,15,-89.6295628,44.74373159
United States,RRB+FOS,16,-88.6295628,44.74373159
United States,Washout,17,-87.6295628,44.74373159
