week,CON,FUC,HFD
0,15.1,13.7,15.2
0,15.3,14.9,15.6
0,15.4,15,15.5
0,14.7,14.3,14.8
0,15,14.3,15.2
0,15.5,14.3,15.7
1,13.7,16,18.4
1,16.8,16.4,17.9
1,16.4,19,17.1
1,14.8,16.7,17.3
1,14.4,19,17.1
1,14.5,18.9,18.9
2,16.7,17,17.7
2,18,16.5,18.3
2,18.1,20.2,17.1
2,16.1,17.6,17.6
2,15.5,19.2,17.5
2,16.6,19.6,18
3,17.4,18.3,19.4
3,18.8,18.5,18.9
3,20,16.9,19.3
3,16.7,19.3,18.6
3,17.2,20.1,18.7
3,15.9,20,18.8
4,19.1,20.9,20.9
4,16.4,18.2,22.5
4,21,20.9,21.4
4,19.1,17.8,21
4,21.3,18.9,22.1
4,20.5,19.9,20.6
5,23.7,21.8,23.6
5,18.8,18.6,25.5
5,18.2,21.9,30.8
5,19.4,18.5,25.3
5,19,18.9,25.9
5,20.1,,22.1
6,29.2,27.7,33.4
6,31.6,30.8,34.1
6,20.4,24,32.2
6,23.3,19.9,35.5
6,21.8,29.4,33.8
6,27.7,,
